date,open,close,high,low,vol,amt,amp,pct,chg,turnover,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-08-16,135.481,135.473,135.561,135.416,36548.0,502938450.0,0.11,-0.02,-0.023,14.63,-0.0002,-0.0018,0.0039,50.6339,0.1727,0.2471,-0.0744,0.0256,40628.8,0.8996
2024-08-19,135.559,135.532,135.559,135.424,41832.0,575601000.0,0.1,0.04,0.059,16.75,0.0004,0.0032,0.0022,51.3626,0.1573,0.2291,-0.0718,0.0246,39228.8,1.0664
2024-08-20,135.534,135.51,135.534,135.467,40906.0,562956075.0,0.05,-0.02,-0.022,16.38,-0.0002,0.0,0.0009,49.0845,0.1418,0.2116,-0.0699,0.0244,36129.8,1.1322
2024-08-21,135.509,135.363,135.536,135.351,52970.0,728438040.0,0.14,-0.11,-0.147,21.21,-0.0011,-0.002,-0.0002,41.5595,0.1162,0.1926,-0.0763,0.0247,39327.4,1.3469
2024-08-22,135.564,135.639,135.641,135.397,21531.0,296505454.0,0.18,0.2,0.276,8.62,0.002,0.0011,0.0017,43.2696,0.1169,0.1774,-0.0605,0.0257,38757.4,0.5555
2024-08-23,135.629,135.84,135.842,135.626,39433.0,543410882.0,0.16,0.15,0.201,15.79,0.0015,0.0027,0.0028,46.4062,0.1322,0.1684,-0.0362,0.0262,39334.4,1.0025
2024-08-26,135.836,135.842,135.896,135.715,31747.0,437899175.0,0.13,0.0,0.002,12.71,0.0,0.0023,0.003,50.1192,0.1428,0.1633,-0.0205,0.0262,37317.4,0.8507
2024-08-27,135.728,135.752,135.842,135.725,41563.0,573048361.0,0.09,-0.07,-0.09,16.64,-0.0007,0.0018,0.0022,44.3064,0.1423,0.1591,-0.0168,0.0263,37448.8,1.1099
2024-08-28,135.731,135.797,135.802,135.666,48146.0,663689773.0,0.1,0.03,0.045,19.28,0.0003,0.0032,0.0018,47.6496,0.1438,0.156,-0.0122,0.0262,36484.0,1.3196
2024-08-29,135.797,135.723,135.851,135.716,35408.0,488190046.0,0.1,-0.05,-0.074,14.18,-0.0005,0.0006,-0.0004,50.0224,0.1375,0.1523,-0.0148,0.0256,39259.4,0.9019
2024-08-30,135.748,135.681,135.774,135.56,32779.0,451610334.0,0.16,-0.03,-0.042,13.12,-0.0003,-0.0012,-0.0022,67.6167,0.1277,0.1474,-0.0197,0.025,37928.6,0.8642
2024-09-02,135.924,136.002,136.046,135.725,43363.0,598891652.0,0.24,0.24,0.321,17.36,0.0024,0.0012,-0.0002,65.8786,0.1441,0.1467,-0.0026,0.0265,40251.8,1.0773
2024-09-03,136.053,136.185,136.186,135.955,42128.0,582406440.0,0.17,0.13,0.183,16.87,0.0013,0.0032,0.0026,67.0574,0.1699,0.1514,0.0185,0.0263,40364.8,1.0437
2024-09-04,136.264,136.233,136.382,136.146,42708.0,590911718.0,0.17,0.04,0.048,17.1,0.0004,0.0032,0.0015,74.0378,0.192,0.1595,0.0325,0.0259,39277.2,1.0873
2024-09-05,136.304,136.319,136.394,136.304,34083.0,471901680.0,0.07,0.06,0.086,13.65,0.0006,0.0044,0.003,76.5038,0.214,0.1704,0.0436,0.0257,39012.2,0.8736
2024-09-06,136.302,136.364,136.405,136.234,32606.0,451442774.0,0.13,0.03,0.045,13.05,0.0003,0.005,0.0047,76.2958,0.2324,0.1828,0.0496,0.0251,38977.6,0.8365
2024-09-09,136.364,136.437,136.615,136.364,10826.0,149963461.0,0.18,0.05,0.073,4.33,0.0005,0.0032,0.0099,78.3833,0.25,0.1962,0.0538,0.0175,32470.2,0.3334
