date,open,close,high,low,vol,amt,amp,pct,chg,turnover
2024-12-18,107.542,107.481,107.56,107.41,54233,583010957.500,0.14,0.01,0.011,25.18
2024-12-19,107.511,107.55,107.551,107.495,42153,453210224.618,0.05,0.06,0.069,19.57
2024-12-20,107.606,107.697,107.697,107.606,35193,378881571.020,0.08,0.14,0.147,16.34
2024-12-23,107.794,107.787,107.839,107.738,40847,440273089.040,0.09,0.08,0.090,18.96
2024-12-24,107.764,107.818,107.85,107.506,21342,230137454.500,0.32,0.03,0.031,9.91
2024-12-25,107.818,107.719,107.818,107.706,21361,230109811.500,0.10,-0.09,-0.099,9.92
2024-12-26,107.725,107.704,107.753,107.674,47771,514477977.268,0.07,-0.01,-0.015,22.18
2024-12-27,107.75,107.827,107.834,107.75,48535,523239549.200,0.08,0.11,0.123,22.53
2024-12-30,107.815,107.798,107.847,107.789,19738,212801992.636,0.05,-0.03,-0.029,9.16
2024-12-31,107.815,107.79,107.858,107.79,29777,321073565.452,0.06,-0.01,-0.008,13.82
2025-01-02,107.812,107.785,107.842,107.782,29747,320686448.500,0.06,0.0,-0.005,13.81
2025-01-03,107.83,107.884,107.884,107.8,15889,171348698.100,0.08,0.09,0.099,7.38
2025-01-06,107.883,107.86,107.931,107.849,24576,265149211.700,0.08,-0.02,-0.024,11.41
2025-01-07,107.851,107.784,107.851,107.749,32217,347289497.600,0.09,-0.07,-0.076,14.96
2025-01-08,107.781,107.722,107.793,107.716,32527,350420948.950,0.07,-0.06,-0.062,15.10
2025-01-09,107.672,107.632,107.716,107.628,16882,181730452.900,0.08,-0.08,-0.090,7.84
2025-01-10,107.546,107.55,107.589,107.446,9046,97287684.680,0.13,-0.08,-0.082,4.20
2025-01-13,107.541,107.547,107.614,107.512,19303,207642609.400,0.09,0.0,-0.003,8.96
2025-01-14,107.509,107.616,107.63,107.509,19078,205289090.480,0.11,0.06,0.069,8.86
2025-01-15,107.62,107.68,107.7,107.62,44986,484387443.400,0.07,0.06,0.064,20.88
2025-01-16,107.648,107.594,107.648,107.534,47775,514077315.360,0.11,-0.08,-0.086,22.18
2025-01-17,107.594,107.569,107.644,107.539,55579,597913273.400,0.10,-0.02,-0.025,25.80
2025-01-20,107.56,107.544,107.593,107.508,7466,80303599.400,0.08,-0.02,-0.025,3.47
2025-01-21,107.599,107.628,107.656,107.544,27849,299627080.100,0.10,0.08,0.084,12.93
2025-01-22,107.625,107.608,107.69,107.608,32744,352492779.500,0.08,-0.02,-0.020,15.20
2025-01-23,107.588,107.535,107.654,107.522,15187,163321484.900,0.12,-0.07,-0.073,7.05
2025-01-24,107.535,107.538,107.553,107.411,21598,232071703.400,0.13,0.0,0.003,10.03
2025-01-27,107.563,107.707,107.727,107.563,12813,137973165.600,0.15,0.16,0.169,5.95
2025-02-05,107.709,107.71,107.79,107.69,57153,615518819.600,0.09,0.0,0.003,26.53
2025-02-06,107.715,107.78,107.782,107.706,63667,685886780.600,0.07,0.06,0.070,29.55
2025-02-07,107.788,107.785,107.827,107.772,36002,388116173.500,0.05,0.0,0.005,16.71
2025-02-10,107.798,107.688,107.798,107.679,56944,613276485.100,0.11,-0.09,-0.097,26.43
2025-02-11,107.688,107.667,107.694,107.651,25572,275360529.400,0.04,-0.02,-0.021,11.87
2025-02-12,107.67,107.666,107.7,107.652,19650,211583291.017,0.04,0.0,-0.001,9.12
2025-02-13,107.66,107.626,107.66,107.617,104854,1128715628.400,0.04,-0.04,-0.040,48.67
2025-02-14,107.628,107.526,107.633,107.506,63782,685863155.800,0.12,-0.09,-0.100,29.61
2025-02-17,107.577,107.5,107.577,107.442,31234,335778980.000,0.13,-0.02,-0.026,14.50
2025-02-18,107.5,107.426,107.5,107.349,8792,94426133.200,0.14,-0.07,-0.074,4.08
2025-02-19,107.476,107.465,107.476,107.428,19318,207590033.655,0.04,0.04,0.039,8.97
2025-02-20,107.467,107.397,107.467,107.377,9449,101469419.200,0.08,-0.06,-0.068,4.39
2025-02-21,107.428,107.336,107.428,107.257,9670,103769350.550,0.16,-0.06,-0.061,4.49
2025-02-24,107.323,107.129,107.323,107.106,8281,88787909.700,0.20,-0.19,-0.207,3.84
2025-02-25,107.242,107.209,107.262,107.112,36965,396182845.400,0.14,0.07,0.080,17.16
2025-02-26,107.204,107.245,107.297,107.204,29317,314413978.400,0.09,0.03,0.036,13.61
